,similarity
sample_1106,0.6467192152486655
AuditRandomForest,0.37581711146939883
Parade2005_2,0.36667880607010134
z_then_tables_licensed_wpa-workers-doc-9031,0.3653845057996079
draftkings_sea_min_w5,0.32167860096429324
z_rate_of_return_tables_licensed_hr_data,0.30822870790046125
EMPLOYEES_6,0.3054638055763727
employee_257,0.3054638055763727
z_crime_rate_tables_licensed_StandardMetropolitanAreasData_train_data,0.27022243927131556
z_id_tables_licensed_most_deprived_datazones_by_council_(income)_2012_1,0.25891364964652447
z_id_tables_licensed_batch168_players,0.2517500122114863
z_id_tables_licensed_batch170_players,0.25016795210886145
z_rate_of_return_tables_licensed_pay,0.24927393205388743
z_data_rate_tables_licensed_construction_top_6_europe_2020,0.24125711403718444
z_lead_time_tables_licensed_artist,0.21058705860032453
z_parent_tables_licensed_non-profit-100-print-healthcare,0.20530410881399436
z_thing_tables_licensed_soac-2019-11-17,0.20349234089240695
z_processing_time_tables_licensed_text_mining,0.20241979137561328
z_organism_tables_licensed_CMS002_016a_Rb_S121_L004,0.19248791676142513
z_id_tables_licensed_banking-test-loans-public,0.18389483080669253
z_parent_tables_licensed_Demographic,0.18275325696124867
z_id_tables_licensed_yellow_tripdata_time_format_test,0.1679498592320913
z_id_tables_licensed_top_10_movies_2011-2015,0.1676642862339977
z_crime_rate_tables_licensed_Factors,0.16279478394154592
z_parent_tables_licensed_non-profit-100-print-all,0.15436611270433762
z_crime_rate_tables_licensed_StateData2,0.11594111461572339
z_miles_per_hour_tables_licensed_data_with_msas,0.10385329418704754
z_dose_rate_tables_licensed_us_states_misc_stats,0.09941681134975884
z_crime_rate_tables_licensed_US_State_Data,0.09619724643459371
z_id_tables_licensed_202001,0.091658752796592
financing_rates_1,0.08776037783931268
z_id_tables_licensed_financing_rates_3,0.08004345824508435
z_id_tables_licensed_financing_rates,0.08004345815597846
z_thing_tables_licensed_soac-2018-10-10,0.06818094909545604
z_thing_tables_licensed_Survey%20on%20Alternative%20Credentials,0.06816597953245966
z_data_rate_tables_licensed_CompiledData-earnings,0.052064560813826946
z_parent_tables_licensed_recipient,2.9900455527998187e-05
